#Gene	Genome Location	Role in Cancer	Tumour Type(Somatic)	Tumor Type(Germline)	Mutated Tumor Samples(Bert Vogelstein125)	Cancer Type(SMG127)	Putative Driver Category(Comprehensive435)
HOXC13	12:53938908-53945257	oncogene	AML	.	.	.	.
HOXD11	2:176107357-176109143	oncogene	AML	.	.	.	.
HOXD13	2:176092916-176094731	oncogene	AML*	.	.	.	.
HRAS	11:532636-534322	oncogene	infrequent sarcomas; rare other tumour types	rhabdomyosarcoma; ganglioneuroblastoma; bladder	812	.	High Confidence Driver
HSP90AA1	14:102081712-102139404	.	NHL	.	.	.	.
HSP90AB1	6:44248630-44253598	.	NHL	.	.	.	High Confidence Driver
HSPA8	.	.	.	.	.	.	High Confidence Driver
HUWE1	.	.	.	.	.	.	High Confidence Driver
IARS2	.	.	.	.	.	.	Candidate driver
IDH1	2:208237079-208251551	oncogene	glioblastoma	.	4509	GBM	High Confidence Driver
IDH2	15:90084266-90102390	oncogene	glioblastoma	.	1029	LAML	High Confidence Driver
IGH	14:-	.	MM; Burkitt lymphoma; NHL; CLL; B-ALL; MALT; MLCLS	.	.	.	.
IGK	2:-	.	Burkitt lymphoma; B-NHL	.	.	.	.
IGL	22:-	.	Burkitt lymphoma	.	.	.	.
IK	.	.	.	.	.	.	Candidate driver
IKBKB	8:42272100-42330979	oncogene	SMZL	.	.	.	.
IKZF1	7:50319062-50400628	TSG	ALL; DLBCL	.	.	.	.
IL2	4:122451752-122456440	.	intestinal T-cell lymphoma	.	.	.	.
IL21R	16:27430073-27449284	.	NHL	.	.	.	.
IL6ST	5:55941082-55976278	.	hepatocellular carcinoma	.	.	.	.
IL7R	5:35856978-35876486	.	ALL; ETP ALL	.	.	.	.
ING1	.	.	.	.	.	.	Candidate driver
INPP4A	.	.	.	.	.	.	Candidate driver
INTS1	.	.	.	.	.	.	Candidate driver
IRF4	6:393154-407599	oncogene/TSG	MM	.	.	.	.
IRS2	.	.	.	.	.	.	High Confidence Driver
ITGA6	.	.	.	.	.	.	High Confidence Driver
ITK	5:157180978-157252678	.	peripheral T-cell lymphoma	.	.	.	.
JAK1	1:64834562-64886264	oncogene	ALL	.	61	.	.
JAK2	9:5021988-5126791	oncogene	ALL; AML; MPN; CML	.	32692	.	High Confidence Driver
JAK3	19:17826743-17844417	oncogene	acute megakaryocytic leukaemia; ETP ALL	.	89	.	.
JAZF1	7:27832800-28180577	.	endometrial stromal tumour	.	.	.	.
JMJD1C	.	.	.	.	.	.	Candidate driver
JUN	1:58782075-58783070	.	sarcoma	.	.	.	.
KALRN	.	.	.	.	.	.	High Confidence Driver
KAT6A	8:-	.	AML	.	.	.	.
KAT6B	10:74842858-75031046	.	AML	.	.	.	.
KCNJ5	11:128911274-128916731	.	adrenal adenoma	.	.	.	.
KDM5A	12:285456-389091	.	AML	.	.	.	.
KDM5C	X:53192967-53224889	TSG	clear cell renal carcinoma	.	26	KIRC	High Confidence Driver
KDM6A	X:44873552-45111411	TSG	renal cell carcinoma; bladder carcinoma; oesophageal SCC; MM; medulloblastoma; T-ALL; other tumour types	.	66	BLCA	High Confidence Driver
KDM6B	.	.	.	.	.	.	Candidate driver
KDR	4:55079941-55125293	.	NSCLC; angiosarcoma	.	.	.	.
KDSR	18:63331782-63367118	.	B-NHL	.	.	.	.
KEAP1	19:10486652-10500033	TSG	NSCLC; breast carcinoma	.	.	LUAD	High Confidence Driver
KIAA0947	.	.	.	.	.	.	Candidate driver
KIAA1109	.	.	.	.	.	.	High Confidence Driver
KIAA1549	7:138837906-138919418	.	pilocytic astrocytoma	.	.	.	.
KIAA1598	10:116886555-117005079	.	Spitzoid tumour	.	.	.	.
KIF20B	.	.	.	.	.	.	Candidate driver
KIF5B	10:32009010-32055973	.	NSCLC; Spitzoid tumour	.	.	.	.
KIFC3	.	.	.	.	.	.	High Confidence Driver
KIT	4:54658015-54738557	oncogene	GIST; AML; TGCT; mastocytosis; mucosal melanoma	GIST; epithelioma	4720	.	High Confidence Driver
KLF4	9:107485751-107489172	oncogene/TSG	meningioma	.	61	.	.
KLF6	10:3779539-3785014	.	prostate; glioma	.	.	.	.
KLK2	19:50873474-50878559	.	prostate	.	.	.	.
KMT2A	11:118436513-118522172	oncogene	AML; ALL	.	.	.	.
KMT2C	7:152136832-152435786	.	medulloblastoma	.	.	.	.
KMT2D	12:49021780-49055324	.	medulloblastoma; renal	.	.	.	.
KRAS	12:25209795-25245384	oncogene	pancreatic; colorectal; lung; thyroid; AML; other tumour types	.	23261	UCEC,COAD/READ,LUAD,BRCA	High Confidence Driver
KTN1	14:55612050-55680691	.	papillary thyroid	.	.	.	.
LASP1	17:38870190-38918778	.	AML	.	.	.	.
LCK	1:32274330-32285716	.	T-ALL	.	.	.	.
LCP1	13:46127591-46159662	.	NHL	.	.	.	High Confidence Driver
LEF1	4:108063629-108167767	oncogene/TSG	B-ALL; T-ALL; eyelid sebaceous carcinoma; AML; lymphomas	.	.	.	.
LEPR	.	.	.	.	.	.	High Confidence Driver
LHFP	13:39343936-39601216	.	lipoma	.	.	.	.
LIFR	5:38481595-38530647	.	salivary adenoma	.	.	COAD/READ	High Confidence Driver
LMNA	1:156114919-156139106	.	Spitzoid tumour	.	.	.	.
LMO1	11:8224616-8268634	.	T-ALL; neuroblastoma	neuroblastoma	.	.	.
LMO2	11:33859356-33869386	.	T-ALL	.	.	.	.
LPP	3:188406122-188874480	.	lipoma; leukaemia	.	.	.	High Confidence Driver
LRIG3	12:58872572-58920235	.	NSCLC	.	.	.	.
LRP1B	2:140233186-142130729	TSG	CLL; ovarian cancer; oesophageal squamous cell carcinoma; urothelial cancer	.	.	.	.
LRRK2	.	.	.	.	.	HNSC,LUSC	High Confidence Driver
LSM14A	19:34172643-34227388	.	Spitzoid tumour	.	.	.	.
LTBP1	.	.	.	.	.	.	Candidate driver
LUC7L2	.	.	.	.	.	.	Candidate driver
LUM	.	.	.	.	.	.	High Confidence Driver
LYL1	19:13099319-13101171	.	T-ALL	.	.	.	.
LYN	.	.	.	.	.	.	High Confidence Driver
LZTR1	22:20982372-20997348	TSG	glioblastoma	glioblastoma; schwannoma	.	.	High Confidence Driver
MACF1	.	.	.	.	.	.	Candidate driver
MAF	16:79594460-79599902	.	MM	.	.	.	.
MAFB	20:40687879-40688850	.	MM	.	.	.	.
MALAT1	11:65502644-65502817	.	renal cell carcinoma (childhood epithelioid); lung	.	.	.	High Confidence Driver
MALT1	18:58671645-58747843	.	MALT	.	.	.	.
MAML2	11:95978948-96341895	.	salivary gland mucoepidermoid	.	.	.	.
MAP1A	.	.	.	.	.	.	Candidate driver
MAP1B	.	.	.	.	.	.	Candidate driver
MAP2K1	15:66387348-66490615	oncogene	NSCLC; melanoma; colorectal	.	13	.	.
MAP2K2	19:4090598-4123875	oncogene	NSCLC; melanoma	.	.	.	.
MAP2K4	17:12020887-12141260	.	pancreatic; breast; colorectal	.	.	.	High Confidence Driver
MAP3K1	5:56152434-56189507	TSG	luminal A breast	.	11	BRCA	High Confidence Driver
MAP3K13	3:185428582-185482456	.	breast	.	.	.	.
MAP3K3	.	.	.	.	.	.	High Confidence Driver
MAP3K4	.	.	.	.	.	.	High Confidence Driver
MAP4	.	.	.	.	.	.	Candidate driver
MAPK1	22:21769204-21867440	oncogene	CLL; ovarian mixed germ cell tumour; cervical carcinoma	.	.	.	.
MAPK8IP1	.	.	.	.	.	.	High Confidence Driver
MARCKSL1	.	.	.	.	.	.	Candidate driver
MAST2	.	.	.	.	.	.	High Confidence Driver
MATK	.	.	.	.	.	.	High Confidence Driver
MAX	14:65076476-65102339	.	pheochromocytoma; endometrioid carcinoma; colon carcinoma	pheochromocytoma	.	.	High Confidence Driver
MCM7	.	.	.	.	.	.	Candidate driver
MDC1	.	.	.	.	.	.	High Confidence Driver
MDM2	12:68808478-68839849	oncogene	sarcoma; glioma; colorectal; other tumour types	.	.	.	.
MDM4	1:204525519-204549682	oncogene	glioblastoma; bladder; retinoblastoma	.	.	.	.
MDN1	.	.	.	.	.	.	Candidate driver
MDS2	1:23629556-23640550	.	MDS	.	.	.	.
MECOM	3:169084909-169131477	oncogene	AML; CML; MDS	.	.	.	High Confidence Driver
MED12	X:71118755-71142218	oncogene	uterine leiomyoma; fibroadenoma; phyllodes tumour	.	337	.	High Confidence Driver
MED13	.	.	.	.	.	.	High Confidence Driver
MED17	.	.	.	.	.	.	High Confidence Driver
MEF2A	.	.	.	.	.	.	High Confidence Driver
MEGF6	.	.	.	.	.	.	Candidate driver
MEN1	11:64804334-64810109	TSG	parathyroid tumours; pancreatic neuroendocrine tumour	parathyroid adenoma; pituitary adenoma; pancreatic islet cell; carcinoid	290	.	.
MET	7:116699085-116796124	oncogene	papillary renal; head-neck squamous cell	papillary renal	159	.	.
METTL14	.	.	.	.	.	.	High Confidence Driver
MGA	.	.	.	.	.	.	Candidate driver
MICAL1	.	.	.	.	.	.	Candidate driver
MITF	3:69936723-69965248	.	melanoma	.	.	.	.
MKI67	.	.	.	.	.	.	Candidate driver
MKL1	22:40411390-40463227	.	acute megakaryocytic leukaemia	.	.	.	.
MLF1	3:158571302-158605203	.	AML	.	.	.	.
MLH1	3:36993548-37050653	TSG	colorectal; endometrial; ovarian; CNS tumours	colorectal; endometrial; ovarian; CNS	61	.	.
MLL	.	.	.	.	.	.	High Confidence Driver
MLL2	.	TSG	.	.	165	LUSC	High Confidence Driver
MLL3	.	TSG	.	.	111	BRCA	High Confidence Driver
MLL4	.	.	.	.	.	UCEC,HNSC	.
MLLT1	19:6213042-6279784	oncogene	AL	.	.	.	.
MLLT10	10:21534646-21740235	.	AL	.	.	.	High Confidence Driver
MLLT11	1:151039702-151040970	.	ALL	.	.	.	.
MLLT3	9:20346443-20622256	oncogene	ALL	.	.	.	High Confidence Driver
MLLT4	6:167827134-167952263	.	AL	.	.	.	High Confidence Driver
MLLT6	17:36861887-36881852	.	AL	.	.	.	.
MME	.	.	.	.	.	.	Candidate driver
MMP2	.	.	.	.	.	.	High Confidence Driver
MN1	22:27750915-27800543	.	AML; meningioma	.	.	.	High Confidence Driver
MNX1	7:157005520-157010350	.	AML	.	.	.	.
MPL	1:43337849-43352772	oncogene	MPN	MPN	531	.	.
MSH2	2:47403192-47482949	TSG	colorectal; endometrial; ovarian	colorectal; endometrial; ovarian	37	.	.
MSH6	2:47783234-47806860	TSG	colorectal	colorectal; endometrial; ovarian	135	.	.
MSI2	17:57257049-57631832	.	CML	.	.	.	.
MSN	X:65667842-65739893	.	ALCL	.	.	.	High Confidence Driver
MST1	.	.	.	.	.	.	High Confidence Driver
MTCP1	X:155061843-155064023	.	T cell prolymphocytic leukaemia	.	.	.	.
MTM1	.	.	.	.	.	.	Candidate driver
MTOR	1:11107485-11259409	oncogene	endometrial carcinoma; head and neck; clear cell renal cell carcinoma; anaplastic thyroid cancer; urothelial cell carcinoma; central nervous system tumours; testicular germ cell tumours and other tumour types	.	.	KIRC	High Confidence Driver
MUC1	1:155186135-155192843	.	B-NHL	.	.	.	.
MUTYH	1:45329306-45340254	.	.	colorectal	.	.	.
MYB	6:135181514-135217980	.	adenoid cystic carcinoma	.	.	.	High Confidence Driver
MYC	8:127738263-127740958	oncogene	Burkitt lymphoma; amplified in other cancers; B-CLL	.	.	.	.
MYCBP2	.	.	.	.	.	.	Candidate driver
MYCL	1:39900814-39901434	.	small cell lung carcinoma	.	.	.	.
MYCN	2:15942065-15946097	oncogene	neuroblastoma	.	.	.	.
MYD88	3:38138662-38141286	oncogene	ABC-DLBCL	.	134	.	.
MYH11	16:15708811-15838252	.	AML	.	.	.	.
MYH9	22:36282668-36349236	.	ALCL	.	.	.	High Confidence Driver
MYO1D	.	.	.	.	.	.	Candidate driver
MYO5A	15:52313696-52528806	.	Spitzoid tumour	.	.	.	.
MYOD1	11:17719783-17721508	.	embryonal rhabdomyosarcoma	.	.	.	.
NAA15	.	.	.	.	.	.	Candidate driver
NAB2	12:57089272-57094721	oncogene	solitary fibrous tumour; meningeal haemangiopericytoma	.	.	.	.
NACA	12:56712538-56724521	.	NHL	.	.	.	.
NAV1	.	.	.	.	.	.	Candidate driver
NAV3	.	.	.	.	.	LUAD,LUSC,HNSC	High Confidence Driver
NBEA	.	.	.	.	.	.	Candidate driver
NBN	8:89935582-89984561	.	.	NHL; glioma; medulloblastoma; rhabdomyosarcoma	.	.	.
NBPF10	.	.	.	.	.	.	High Confidence Driver
NCKIPSD	3:48674544-48685807	.	ALL	.	.	.	.
NCOA1	2:24658678-24768391	.	alveolar rhabdomyosarcoma	.	.	.	.
NCOA2	8:70113632-70216745	.	AML; chondrosarcoma; rhabdomyosarcoma	.	.	.	.
NCOA3	.	.	.	.	.	.	High Confidence Driver
NCOA4	10:51579142-51586417	.	papillary thyroid	.	.	.	High Confidence Driver
NCOR1	17:16032296-16194569	TSG	breast	.	35	BRCA	High Confidence Driver
NCOR2	12:124325402-124495251	TSG	prostate	.	.	.	High Confidence Driver
NDRG1	8:133238878-133284311	.	prostate	.	.	.	.
NEB	.	.	.	.	.	.	High Confidence Driver
NEDD4L	.	.	.	.	.	.	High Confidence Driver
NEK1	.	.	.	.	.	.	Candidate driver
NEK8	.	.	.	.	.	.	Candidate driver
NF1	17:31095310-31374155	TSG	neurofibroma; glioma	neurofibroma; glioma	362	LUAD,BRCA	High Confidence Driver
NF2	22:29603999-29694802	TSG	meningioma; acoustic neuroma; renal	meningioma; acoustic neuroma	609	.	.
NFATC2	20:51391396-51542499	.	Ewing sarcoma	.	.	.	.
NFE2L2	2:177230785-177264576	oncogene	NSCLC; HNSCC	.	102	UCEC,HNSC,BLCA,LUSC	High Confidence Driver
NFE2L3	.	.	.	.	.	BRCA	.
NFIB	9:14088309-14313511	.	adenoid cystic carcinoma; lipoma	.	.	.	.
NFKB2	10:102395960-102402376	oncogene	B-NHL	.	.	.	.
NFKBIE	6:44259219-44265763	.	CLL; desmoplastic melanoma	.	.	.	.
NIN	14:50725872-50822056	.	MPN	.	.	.	High Confidence Driver
NIPBL	.	.	.	.	.	.	Candidate driver
NKX2-1	14:36517278-36519357	.	NSCLC	.	.	.	.
NLRP3	.	.	.	.	.	.	High Confidence Driver
NMT2	.	.	.	.	.	.	Candidate driver
NONO	X:71290638-71300076	.	papillary renal	.	.	.	High Confidence Driver
NOTCH1	9:136496071-136545786	oncogene/TSG	T-ALL; breast; bladder; skin SCC; lung SCC; head and neck SCC	.	661	LUSC,HNSC	High Confidence Driver
NOTCH2	1:119915306-120069406	oncogene/TSG	marginal zone lymphoma; DLBCL; bladder	.	51	.	.
NPM1	5:171387949-171410565	TSG	NHL; APL; AML	.	2471	LAML	High Confidence Driver
NR1H2	.	.	.	.	.	.	High Confidence Driver
NR4A2	.	.	.	.	.	.	High Confidence Driver
NR4A3	9:99828041-99863867	.	extraskeletal myxoid chondrosarcoma	.	.	.	.
NRAS	1:114708535-114716160	oncogene	melanoma; MM; AML; thyroid	.	2738	COAD/READ,UCEC	High Confidence Driver
NRG1	8:32548727-32764402	.	NSCLC	.	.	.	.
NSD1	5:177135104-177295459	.	AML	.	.	HNSC	High Confidence Driver
NT5C2	10:103089672-103174958	.	relapse ALL	.	.	.	.
NTRK1	1:156860935-156881642	.	papillary thyroid; Spitzoid tumour	.	.	.	.
NTRK3	15:87876935-88256153	.	congenital fibrosarcoma; secretory breast	.	.	.	.
NUMA1	11:72003527-72035943	.	APL	.	.	.	High Confidence Driver
NUP214	9:131125705-131233487	.	AML; T-ALL	.	.	.	High Confidence Driver
NUP93	.	.	.	.	.	.	High Confidence Driver
NUP98	11:3676159-3782117	.	AML	.	.	.	High Confidence Driver
NUTM1	15:34346021-34357492	oncogene	lethal midline carcinoma	.	.	.	.
NUTM2A	10:87358266-87367372	.	endometrial stromal sarcoma	.	.	.	.
NUTM2B	10:79703610-79712485	.	endometrial stromal sarcoma	.	.	.	.
OLIG2	21:33026863-33027834	.	T-ALL	.	.	.	.
OMD	9:92415152-92417558	.	aneurysmal bone cyst	.	.	.	.
P2RY8	X; Y:1465479-1466558	.	B-ALL; Down syndrome associated ALL	.	.	.	.
P4HB	.	.	.	.	.	.	Candidate driver
PABPC1	.	.	.	.	.	.	High Confidence Driver
PABPC4	.	.	.	.	.	.	Candidate driver
PAFAH1B2	11:117152449-117167700	.	MLCLS	.	.	.	.
PALB2	16:23603459-23641157	TSG	.	Wilms tumour; medulloblastoma; AML ; breast	.	.	.
PAX3	2:222201174-222298615	.	alveolar rhabdomyosarcoma	.	.	.	.
PAX5	9:36840560-37034031	TSG	NHL; ALL; B-ALL	.	49	.	.
PAX7	1:18631604-18736039	.	alveolar rhabdomyosarcoma	.	.	.	.
PAX8	2:113218533-113278394	.	follicular thyroid	.	.	.	.
PBRM1	3:52548063-52679711	TSG	clear cell renal carcinoma; breast	.	171	KIRC	High Confidence Driver
PBX1	1:164559824-164846677	.	pre B-ALL; myoepithelioma	.	.	.	.
PCBP1	.	.	.	.	.	COAD/READ	High Confidence Driver
PCM1	8:17935611-18027662	.	papillary thyroid; CML; MPN	.	.	.	High Confidence Driver
PCSK7	11:117205997-117229844	.	MLCLS	.	.	.	.
PDCD1LG2	9:5522547-5569959	.	PMBL; Hodgkin lymphoma	.	.	.	.
PDE4DIP	1:148889754-149031985	.	MPN	.	.	.	.
PDGFB	22:39225723-39243963	oncogene	DFSP	.	.	.	.
PDGFRA	4:54258769-54295272	oncogene	GIST; idiopathic hypereosinophilic syndrome; paediatric glioblastoma	GIST	653	GBM	High Confidence Driver
PDGFRB	5:150115763-150137047	.	MPN; AML; CMML; CML	.	.	.	.
PDS5A	.	.	.	.	.	.	Candidate driver
PER1	17:8141068-8150706	.	AML; CMML	.	.	.	.
PHF6	X:134377618-134425330	TSG	ETP ALL	.	57	LAML	High Confidence Driver
PHLDA1	.	.	.	.	.	.	High Confidence Driver
PHOX2B	4:41745807-41748610	.	neuroblastoma	neuroblastoma	.	.	.
PICALM	11:85959046-86068780	.	T-ALL; AML	.	.	.	.
PIK3CA	3:179198826-179234364	oncogene	colorectal; gastric; glioblastoma; breast	.	4560	GBM,KIRC,BRCA,LUSC,COAD/READ,HNSC,UCEC,BLCA	High Confidence Driver
PIK3CB	.	.	.	.	.	.	High Confidence Driver
PIK3CG	.	.	.	.	.	LUSC	High Confidence Driver
PIK3R1	5:68226676-68297601	TSG	glioblastoma; ovarian; colorectal	.	88	UCEC	High Confidence Driver
PIM1	6:37170576-37174091	.	NHL	.	.	.	.
PIP5K1A	.	.	.	.	.	.	High Confidence Driver
PLAG1	8:56166243-56168269	oncogene	salivary adenoma; lipoblastoma	.	.	.	.
PLCG1	20:41137642-41174509	.	angiosarcoma	.	.	.	High Confidence Driver
PLEC	.	.	.	.	.	.	High Confidence Driver
PML	15:73994813-74045008	TSG	APL; ALL	.	.	.	.
PMS1	2:189791810-189877436	.	.	colorectal; endometrial; ovarian	.	.	.
PMS2	7:5973399-6009019	.	.	colorectal; endometrial; ovarian; medulloblastoma; glioma	.	.	.
POLE	12:132624697-132687315	.	colorectal carcinoma; endometrioid carcinoma; stomach carcinoma; skin cancer	colorectal cancer susceptibility	.	.	Candidate driver
POT1	7:124823962-124897173	.	CLL	.	.	.	.
POTEF	.	.	.	.	.	.	High Confidence Driver
POU2AF1	11:111354261-111379177	.	NHL	.	.	.	.
POU5F1	6:31164601-31170620	.	sarcoma	.	.	.	.
PPARG	3:12351593-12434145	.	follicular thyroid	.	.	.	.
PPFIA4	.	.	.	.	.	.	Candidate driver
PPFIBP1	12:27633397-27692882	.	Spitzoid tumour; inflammatory myofibroblastic tumour	.	.	.	.
PPM1D	17:60600415-60663552	oncogene	glioma; ovarian cancer; breast cancer	.	.	.	.
PPP2R1A	19:52190097-52225981	oncogene	clear cell ovarian carcinoma	.	86	UCEC	High Confidence Driver
PPP6C	9:125149673-125189718	.	melanoma	.	.	.	.
PRCC	1:156767772-156800460	.	papillary renal	.	.	.	.
PRDM1	6:106088267-106107486	TSG	DLBCL	.	46	.	.
PRDM16	1:3069260-3433811	.	MDS; AML	.	.	.	.
PRDM2	.	.	.	.	.	.	Candidate driver
PREX2	8:67952395-68231378	oncogene	melanoma; pancreatic ductal adenocarcinoma	.	.	.	.
PRF1	10:70598053-70600902	.	.	various leukaemia; lymphoma	.	.	.
PRKACA	19:14093112-14117547	oncogene	fibrolamellar hepatocellular carcinoma; cortisol secreting adrenal adenoma	.	.	.	.
PRKAR1A	17:68515400-68530449	.	papillary thyroid	myxoma; endocrine; papillary thyroid	.	.	High Confidence Driver
PRKCD	.	.	.	.	.	.	High Confidence Driver
PRPF8	.	.	.	.	.	.	High Confidence Driver
PRRC2A	.	.	.	.	.	.	Candidate driver
PRRX1	1:170664220-170730332	.	AML	.	.	.	.
PRX	.	.	.	.	.	BLCA	Candidate driver
PSEN1	.	.	.	.	.	.	High Confidence Driver
PSIP1	9:15471207-15510188	.	AML	.	.	.	.
PSMD11	.	.	.	.	.	.	Candidate driver
PSME3	.	.	.	.	.	.	Candidate driver
PTCH1	9:95446912-95508361	TSG	skin basal cell; medulloblastoma	skin basal cell; medulloblastoma	318	.	.
PTEN	10:87864470-87965472	TSG	glioma; prostate; endometrial	harmartoma; glioma; prostate; endometrial	1719	UCEC,GBM,LUSC,KIRC,BRCA	High Confidence Driver
PTK6	20:63529536-63537314	oncogene/TSG	renal; gastric; head and neck; ovarian; others	.	.	.	.
PTPN11	12:112419112-112504764	oncogene	JMML; AML; MDS	.	410	GBM,LAML	High Confidence Driver
PTPN13	4:86635257-86814551	TSG	lung; NSCLC; gastric; peritoneal carcinomatosis	hepatocellular	.	.	Candidate driver
PTPRB	12:70521489-70609814	.	angiosarcoma	.	.	.	.
PTPRC	1:198639275-198756181	.	T-ALL	.	.	.	.
PTPRK	6:127970227-128520358	.	colorectal	.	.	.	.
PTPRT	20:42080879-43189733	TSG	HNSCC; colorectal cancer; gastric cancer; lung cancer; melanoma	.	.	.	.
PWP1	.	.	.	.	.	.	Candidate driver
PWWP2A	5:160078155-160119388	.	Spitzoid tumour	.	.	.	.
QKI	6:163415194-163570710	oncogene/TSG	angiocentric glioma; colorectal cancer	.	.	.	Candidate driver
RAB11FIP5	.	.	.	.	.	.	Candidate driver
RABEP1	17:5282488-5383224	.	CMML	.	.	.	.
RAC1	7:6374736-6402446	oncogene	melanoma; carcinoma	.	.	.	High Confidence Driver
RAD21	8:116847500-116866729	.	AML; endometrium; colorectal; lung	.	.	.	High Confidence Driver
RAD51B	14:67823544-68594603	.	lipoma; uterine leiomyoma	.	.	.	.
RAF1	3:12584514-12618721	.	pilocytic astrocytoma; prostate	.	.	.	.
RAG1	.	.	.	.	.	.	Candidate driver
RALGAPA1	.	.	.	.	.	.	Candidate driver
RALGDS	9:133098587-133121154	.	PMBL; Hodgkin lymphoma;	.	.	.	.
RANBP17	5:170862034-171298858	.	ALL	.	.	.	.
RANBP2	2:108719607-108783901	.	inflammatory myofibroblastic tumour	.	.	.	High Confidence Driver
RANBP3	.	.	.	.	.	.	High Confidence Driver
RANGAP1	.	.	.	.	.	.	Candidate driver
RAP1GDS1	4:98261566-98442117	.	T-ALL	.	.	.	.
RARA	17:40331219-40356226	oncogene	APL	.	.	.	.
RASA1	.	.	.	.	.	.	High Confidence Driver
RB1	13:48303913-48480071	TSG	retinoblastoma; sarcoma; breast; small cell lung carcinoma	retinoblastoma; sarcoma; breast; small cell lung carcinoma	208	BLCA,BRCA,LUAD,LUSC	High Confidence Driver
RBFOX2	.	.	.	.	.	.	Candidate driver
RBM10	X:47147482-47186599	TSG	lung adenocarcinoma	.	.	.	Candidate driver
RBM15	1:110339407-110345610	.	acute megakaryocytic leukaemia	.	.	.	.
RBMX	.	.	.	.	.	.	High Confidence Driver
RECQL4	8:144511431-144517784	.	.	osteosarcoma; skin basal cell; skin sqamous cell	.	.	.
REL	2:60881841-60922535	oncogene	Hodgkin lymphoma	.	.	.	.
RET	10:43077259-43128269	oncogene	medullary thyroid; papillary thyroid; pheochromocytoma; NSCLC; Spitzoid tumour	medullary thyroid; papillary thyroid; pheochromocytoma	500	.	.
RHEB	.	.	.	.	.	.	High Confidence Driver
RHOA	3:49360209-49375589	.	diffuse gastric; T cell lymphomas; paediatric Burkitt lymphoma	.	.	.	High Confidence Driver
RHOH	4:40243387-40243962	.	NHL	.	.	.	.
RIF1	.	.	.	.	.	.	Candidate driver
RMI2	16:11345472-11350790	.	PMBL; Hodgkin lymphoma	.	.	.	.
RNF111	.	.	.	.	.	.	Candidate driver
RNF213	17:80340149-80393498	.	ALCL	.	.	.	High Confidence Driver
RNF217-AS1	6:-	.	B-ALL	.	.	.	.
RNF43	17:58354943-58415577	TSG	cholangiocarcinoma; ovary; pancreas	.	27	.	High Confidence Driver
ROS1	6:117288492-117425656	oncogene	glioblastoma; NSCLC; Spitzoid tumour; cholangiocarcinoma; borderline ovarian	.	.	.	.
RPGR	.	.	.	.	.	.	High Confidence Driver
RPL10	X:154398520-154400854	.	T-ALL	.	.	.	.
RPL22	1:6186672-6199573	.	AML; CML	.	.	UCEC	High Confidence Driver
RPL5	1:92832115-92841865	.	T-ALL	.	.	GBM	High Confidence Driver
RPN1	3:128620411-128650800	.	AML	.	.	.	.
RPP38	.	.	.	.	.	.	Candidate driver
RPSAP58	.	.	.	.	.	.	High Confidence Driver
RSPO2	8:107901075-108082638	.	colorectal	.	.	.	.
RSPO3	6:127119193-127196007	.	colorectal	.	.	.	.
RSRC1	.	.	.	.	.	.	Candidate driver
RUNDC2A	16:11976807-12052226	.	PMBL; Hodgkin lymphoma	.	.	.	.
RUNX1	21:34792135-35048899	oncogene/TSG	AML; pre B-ALL; T-ALL	.	304	LAML,BRCA	High Confidence Driver
RUNX1T1	8:91960242-92017340	oncogene	AML	.	.	.	.
RXRA	.	.	.	.	.	.	High Confidence Driver
SBDS	7:66988371-66995417	.	.	AML; MDS	.	.	.
SDC4	20:45327264-45348384	.	NSCLC	.	.	.	.
SDHA	5:218356-256420	TSG	GIST; paraganglioma	paraganglioma	.	.	.
SDHAF2	11:61430147-61446071	.	.	paraganglioma	.	.	.
SDHB	1:17018881-17054019	.	.	paraganglioma; pheochromocytoma	.	.	.
SDHC	1:161314406-161362433	.	.	paraganglioma; pheochromocytoma	.	.	.
SDHD	11:112086908-112094970	.	.	paraganglioma; pheochromocytoma	.	.	.
SEC23B	.	.	.	.	.	.	Candidate driver
SEPT5	22:19714590-19722485	.	AML	.	.	.	.
SEPT6	X:119618762-119693105	.	AML	.	.	.	.
SEPT9	17:77320327-77498658	.	AML*	.	.	.	.
SET	9:128689583-128694664	.	AML	.	.	.	.
SETBP1	18:44701347-45063698	oncogene	aCML; sAML; MDS/MPN-U; CMML; JMML	neuroepithelial tumours	95	LUAD	.
SETD2	3:47017093-47123126	TSG	clear cell renal carcinoma	.	47	KIRC	High Confidence Driver
SETX	.	.	.	.	.	.	Candidate driver
SF3B1	2:197392303-197434999	oncogene	myelodysplastic syndrome	.	516	.	High Confidence Driver
SFPQ	1:35184456-35193049	.	papillary renal	.	.	.	.
SGK1	.	.	.	.	.	.	High Confidence Driver
SH2B3	12:111418146-111448302	TSG	MPN; sAML; erythrocytosis; B-ALL	.	.	.	.
SH3GL1	19:4361600-4400368	.	AL	.	.	.	.
SH3PXD2A	.	.	.	.	.	.	Candidate driver
SIN3A	.	.	.	.	.	UCEC	High Confidence Driver
SLC25A10	.	.	.	.	.	.	Candidate driver
SLC34A2	4:25662501-25676749	.	NSCLC	.	.	.	.
SLC3A2	.	.	.	.	.	.	Candidate driver
SLC45A3	1:205659234-205664656	.	prostate	.	.	.	.
SMAD2	18:47841827-47896756	TSG	colorectal carcinoma; hepatocellular carcinoma	.	16	COAD/READ	High Confidence Driver
